name_a,name_b,tf_oc,cre_oc,target_oc,edge_oc
o_celloracle.o_celloracle.o_celloracle.o_celloracle,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.6515151515151515,0.22289890377588306,0.4190938511326861,0.021751254880089235
o_celloracle.o_celloracle.o_celloracle.o_celloracle,o_random.o_random.o_random.o_random,0.30303030303030304,0.029232643118148598,0.11165048543689321,0.0
o_celloracle.o_celloracle.o_celloracle.o_celloracle,o_pando.o_pando.o_pando.o_pando,0.8939393939393939,0.0,0.47604790419161674,0.05688789737869492
o_collectri.o_collectri.o_collectri.o_collectri,o_collectri.o_collectri.o_collectri.o_collectri,1.0,1.0,1.0,1.0
o_collectri.o_collectri.o_collectri.o_collectri,o_scenic.o_scenic.o_scenic.o_scenic,0.5532786885245902,0.5666438824333562,0.5527908540685945,0.01304945054945055
o_collectri.o_collectri.o_collectri.o_collectri,o_linger.o_linger.o_linger.o_linger,0.7745901639344263,0.32809295967190705,0.20107599193006054,0.015287150530229996
o_collectri.o_collectri.o_collectri.o_collectri,o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,0.8360655737704918,0.127136021872864,0.28060522696011003,0.015424872607078914
o_collectri.o_collectri.o_collectri.o_collectri,o_crema.o_crema.o_crema.o_crema,0.6666666666666666,0.0,0.32222222222222224,0.013733183856502242
o_collectri.o_collectri.o_collectri.o_collectri,o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.696969696969697,0.3868762816131237,0.425689307330195,0.014185373915438644
o_collectri.o_collectri.o_collectri.o_collectri,o_granie.o_granie.o_granie.o_granie,0.47191011235955055,0.09022556390977443,0.24546065904505715,0.004434011476264998
o_collectri.o_collectri.o_collectri.o_collectri,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.7168674698795181,0.5924528301886792,0.5856189770200149,0.3351335133513351
o_collectri.o_collectri.o_collectri.o_collectri,o_random.o_random.o_random.o_random,0.26639344262295084,0.06288448393711552,0.13382649630127774,0.0
o_collectri.o_collectri.o_collectri.o_collectri,o_pando.o_pando.o_pando.o_pando,0.6311475409836066,0.0,0.32934131736526945,0.013715455475946776
o_scenic.o_scenic.o_scenic.o_scenic,o_scenic.o_scenic.o_scenic.o_scenic,1.0,1.0,1.0,1.0
o_scenic.o_scenic.o_scenic.o_scenic,o_linger.o_linger.o_linger.o_linger,0.6127819548872181,0.30604203152364273,0.21431828545371637,0.02197802197802198
o_scenic.o_scenic.o_scenic.o_scenic,o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,0.6390977443609023,0.12040280210157618,0.3988995873452545,0.017857142857142856
o_scenic.o_scenic.o_scenic.o_scenic,o_crema.o_crema.o_crema.o_crema,0.5483870967741935,0.0,0.25555555555555554,0.0072869955156950675
o_scenic.o_scenic.o_scenic.o_scenic,o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.6767676767676768,0.4023642732049037,0.4631130063965885,0.19688644688644688
o_scenic.o_scenic.o_scenic.o_scenic,o_granie.o_granie.o_granie.o_granie,0.4044943820224719,0.12486064659977704,0.2806859205776173,0.007563901930099113
o_scenic.o_scenic.o_scenic.o_scenic,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.5843373493975904,0.609811320754717,0.5930318754633062,0.009900990099009901
o_scenic.o_scenic.o_scenic.o_scenic,o_random.o_random.o_random.o_random,0.2669172932330827,0.05547785547785548,0.1342315369261477,0.0
o_scenic.o_scenic.o_scenic.o_scenic,o_pando.o_pando.o_pando.o_pando,0.5338345864661654,0.0,0.39520958083832336,0.019688644688644688
o_linger.o_linger.o_linger.o_linger,o_linger.o_linger.o_linger.o_linger,1.0,1.0,1.0,1.0
o_linger.o_linger.o_linger.o_linger,o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,0.983739837398374,0.22082252686180068,0.20220082530949107,0.012749075023403023
o_linger.o_linger.o_linger.o_linger,o_crema.o_crema.o_crema.o_crema,0.8709677419354839,0.0,0.32222222222222224,0.016816143497757848
o_linger.o_linger.o_linger.o_linger,o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.7878787878787878,0.4147792706333973,0.6657546739626083,0.043423404479024284
o_linger.o_linger.o_linger.o_linger,o_granie.o_granie.o_granie.o_granie,0.5674157303370787,0.30379041248606464,0.20428636570907432,0.017996870109546165
o_linger.o_linger.o_linger.o_linger,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.8313253012048193,0.31849056603773584,0.23943661971830985,0.0186018601860186
o_linger.o_linger.o_linger.o_linger,o_random.o_random.o_random.o_random,0.3022508038585209,0.3128205128205128,0.1312375249500998,0.0007010164738871364
o_linger.o_linger.o_linger.o_linger,o_pando.o_pando.o_pando.o_pando,0.5338753387533876,0.0008514261387824606,0.6317365269461078,0.062231320368474924
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,1.0,1.0,1.0,1.0
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_crema.o_crema.o_crema.o_crema,0.9139784946236559,0.0,0.022222222222222223,0.0033632286995515697
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.7878787878787878,0.3160429788810671,0.4607977991746905,0.009357585953106928
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_granie.o_granie.o_granie.o_granie,0.6292134831460674,0.11036789297658862,0.33975240715268223,0.012258737610850287
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.8855421686746988,0.11547169811320755,0.22833562585969738,0.014701470147014702
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_random.o_random.o_random.o_random,0.3311897106109325,0.04568764568764569,0.12104539202200826,0.0007010164738871364
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,o_pando.o_pando.o_pando.o_pando,0.5493333333333333,0.0,0.10479041916167664,0.012896622313203685
o_crema.o_crema.o_crema.o_crema,o_crema.o_crema.o_crema.o_crema,1.0,1.0,1.0,1.0
o_crema.o_crema.o_crema.o_crema,o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.3763440860215054,0.0,0.5888888888888889,0.05072869955156951
o_crema.o_crema.o_crema.o_crema,o_granie.o_granie.o_granie.o_granie,0.3870967741935484,0.0,0.17777777777777778,0.003082959641255605
o_crema.o_crema.o_crema.o_crema,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.5483870967741935,0.0,0.25555555555555554,0.0084008400840084
o_crema.o_crema.o_crema.o_crema,o_random.o_random.o_random.o_random,0.25806451612903225,0.0,0.1111111111111111,0.0
o_crema.o_crema.o_crema.o_crema,o_pando.o_pando.o_pando.o_pando,0.7419354838709677,0.0004257130693912303,0.26666666666666666,0.03923766816143498
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,1.0,1.0,1.0,1.0
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,o_granie.o_granie.o_granie.o_granie,0.3434343434343434,0.4280936454849498,0.447202166064982,0.041471048513302036
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.5050505050505051,0.38716981132075473,0.502594514455152,0.0153015301530153
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,o_random.o_random.o_random.o_random,0.23232323232323232,0.31095571095571095,0.27345309381237526,0.0
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,o_pando.o_pando.o_pando.o_pando,0.8888888888888888,0.0021285653469561515,0.8293413173652695,0.10706243602865916
o_granie.o_granie.o_granie.o_granie,o_granie.o_granie.o_granie.o_granie,1.0,1.0,1.0,1.0
o_granie.o_granie.o_granie.o_granie,o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.25301204819277107,0.09433962264150944,0.26241660489251295,0.0036003600360036
o_granie.o_granie.o_granie.o_granie,o_random.o_random.o_random.o_random,0.25280898876404495,0.05351170568561873,0.14620758483033933,0.0
o_granie.o_granie.o_granie.o_granie,o_pando.o_pando.o_pando.o_pando,0.47752808988764045,0.0005574136008918618,0.3652694610778443,0.008868022952529996
o_dorothea.o_dorothea.o_dorothea.o_dorothea,o_dorothea.o_dorothea.o_dorothea.o_dorothea,1.0,1.0,1.0,1.0
o_dorothea.o_dorothea.o_dorothea.o_dorothea,o_random.o_random.o_random.o_random,0.25903614457831325,0.04981132075471698,0.12972572275759822,0.0
o_dorothea.o_dorothea.o_dorothea.o_dorothea,o_pando.o_pando.o_pando.o_pando,0.6144578313253012,0.0,0.3473053892215569,0.010801080108010801
o_random.o_random.o_random.o_random,o_random.o_random.o_random.o_random,1.0,1.0,1.0,1.0
o_random.o_random.o_random.o_random,o_pando.o_pando.o_pando.o_pando,0.31511254019292606,0.0004662004662004662,0.1317365269461078,0.0003505082369435682
o_pando.o_pando.o_pando.o_pando,o_pando.o_pando.o_pando.o_pando,1.0,1.0,1.0,1.0
