class,task,db,org,dts,name,prc,rcl,f01
Literature,Reference GRN,CollecTRI,hg38,PBMC,LINGER Baseline,0.00589,0.0254383691802712,0.0059351577357785
Literature,Reference GRN,CollecTRI,hg38,PBMC,Pando,0.0255885363357216,0.0053986352250151,0.0246748779448611
Literature,Reference GRN,CollecTRI,hg38,PBMC,Random,0.0010515247108307,0.0001295672454003,0.0009823182711198
Literature,Reference GRN,CollecTRI,hg38,PBMC,SCENIC,0.0130494505494505,0.0024617776626068,0.0125164690382081
Literature,Reference GRN,CollecTRI,hg38,PBMC,SCENIC+,0.0123541162864052,0.0101494342230284,0.0123276031316838
Predictive,Gene Sets,Reactome,hg38,PBMC,CellOracle,0.8189655172413793,0.1851851851851851,0.792124164121192
Predictive,Gene Sets,Reactome,hg38,PBMC,CollecTRI,0.4497878359264498,0.6198830409356725,0.4510131577099686
Predictive,Gene Sets,Reactome,hg38,PBMC,Dictys,0.6972222222222222,0.4892787524366471,0.6943006600388902
Predictive,Gene Sets,Reactome,hg38,PBMC,DoRothEA,0.5378151260504201,0.3742690058479532,0.5354983017148537
Predictive,Gene Sets,Reactome,hg38,PBMC,GRaNIE,0.3828125,0.0955165692007797,0.3717419064072711
Predictive,Gene Sets,Reactome,hg38,PBMC,LINGER,0.7626811594202898,0.8206627680311891,0.7632150485524025
Predictive,Gene Sets,Reactome,hg38,PBMC,LINGER Baseline,0.591304347826087,0.1325536062378167,0.5717139765254308
Predictive,Gene Sets,Reactome,hg38,PBMC,Pando,0.5241635687732342,0.2748538011695906,0.5194980483712107
Predictive,Gene Sets,Reactome,hg38,PBMC,Random,0.0,0.0,0.0
Predictive,Gene Sets,Reactome,hg38,PBMC,SCENIC,0.3830645161290322,0.1851851851851851,0.3790542409038833
Predictive,Gene Sets,Reactome,hg38,PBMC,SCENIC+,0.7811764705882352,0.6471734892787524,0.7795782670355473
Predictive,Gene Sets,KEGG,hg38,PBMC,CellOracle,0.7297297297297297,0.4655172413793103,0.7256519425226184
Predictive,Gene Sets,KEGG,hg38,PBMC,CollecTRI,0.4568965517241379,0.913793103448276,0.4591696688968948
Predictive,Gene Sets,KEGG,hg38,PBMC,Dictys,0.6470588235294118,0.5689655172413793,0.6461806901899962
Predictive,Gene Sets,KEGG,hg38,PBMC,DoRothEA,0.5172413793103449,0.7758620689655172,0.5189540991093858
Predictive,Gene Sets,KEGG,hg38,PBMC,GRaNIE,0.4193548387096774,0.2241379310344827,0.415769474350855
Predictive,Gene Sets,KEGG,hg38,PBMC,LINGER,0.723404255319149,0.5862068965517241,0.7217318200924758
Predictive,Gene Sets,KEGG,hg38,PBMC,LINGER Baseline,0.4137931034482758,0.2068965517241379,0.40973630831643
Predictive,Gene Sets,KEGG,hg38,PBMC,Pando,0.5636363636363636,0.5344827586206896,0.563332133861101
Predictive,Gene Sets,KEGG,hg38,PBMC,Random,0.2352941176470588,0.0689655172413793,0.229806598407281
Predictive,Gene Sets,KEGG,hg38,PBMC,SCENIC,0.1973684210526315,0.2586206896551724,0.1978323322016192
Predictive,Gene Sets,KEGG,hg38,PBMC,SCENIC+,0.7051282051282052,0.9482758620689656,0.7069228811402394
Predictive,Gene Sets,PROGENy,hg38,PBMC,CellOracle,1.0,1.0,1.0
Predictive,Gene Sets,PROGENy,hg38,PBMC,CollecTRI,0.2727272727272727,1.0,0.2747053490480508
Predictive,Gene Sets,PROGENy,hg38,PBMC,Dictys,0.4285714285714285,1.0,0.4310099573257468
Predictive,Gene Sets,PROGENy,hg38,PBMC,DoRothEA,0.3,1.0,0.3020937188434696
Predictive,Gene Sets,PROGENy,hg38,PBMC,GRaNIE,0.6,1.0,0.6023856858846919
Predictive,Gene Sets,PROGENy,hg38,PBMC,LINGER,0.6666666666666666,0.6666666666666666,0.6666666666666666
Predictive,Gene Sets,PROGENy,hg38,PBMC,LINGER Baseline,0.375,1.0,0.37733499377335
Predictive,Gene Sets,PROGENy,hg38,PBMC,Pando,0.5,0.6666666666666666,0.501240694789082
Predictive,Gene Sets,PROGENy,hg38,PBMC,Random,0.1666666666666666,0.3333333333333333,0.1674958540630182
Predictive,Gene Sets,PROGENy,hg38,PBMC,SCENIC,0.2307692307692307,1.0,0.2325402916346892
Predictive,Gene Sets,PROGENy,hg38,PBMC,SCENIC+,0.375,1.0,0.37733499377335
