name,prc,rcl,f01
o_celloracle.o_celloracle.o_celloracle.o_celloracle,0.3181818181818182,0.1428571428571428,0.3143619386393953
o_collectri.o_collectri.o_collectri.o_collectri,0.2418032786885245,0.4013605442176871,0.2427587892614169
o_deepmaps.o_deepmaps.o_deepmaps.o_deepmaps,0.2043010752688172,0.1292517006802721,0.2031332698211072
o_dictys.o_dictys.o_dictys.o_dictys,0.2123893805309734,0.3265306122448979,0.2131270057590011
o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.253012048192771,0.2857142857142857,0.2532990983459725
o_granie.o_granie.o_granie.o_granie,0.1685393258426966,0.2040816326530612,0.1688304451997548
o_linger.o_linger.o_linger.o_linger,0.1815718157181571,0.4557823129251701,0.1826598644964504
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,0.1809045226130653,0.4897959183673469,0.1820412045960898
o_pando.o_pando.o_pando.o_pando,0.152,0.3877551020408163,0.1529205514383616
o_random.o_random.o_random.o_random,0.0610932475884244,0.1292517006802721,0.0614138957339904
o_scenic.o_scenic.o_scenic.o_scenic,0.1616541353383458,0.2925170068027211,0.1623733502822746
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.2828282828282828,0.1904761904761904,0.2814770578282074
