name,prc,rcl,f01
o_celloracle.o_celloracle.o_celloracle.o_celloracle,0.1935828877005347,0.0006232396063604,0.0476169390338561
o_collectri.o_collectri.o_collectri.o_collectri,0.1592672058095395,0.0016614441651458,0.0821297357422138
o_dictys.o_dictys.o_dictys.o_dictys,0.1941202956737083,0.0178129051028541,0.1767948650929755
o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.2114266164899076,0.0010640019558353,0.0714879639364765
o_granie.o_granie.o_granie.o_granie,0.3118785975928833,0.0010261213302389,0.0779813661377745
o_linger.o_linger.o_linger.o_linger,0.0619702392164249,0.0062305671382776,0.0569278087001105
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,,,
o_pando.o_pando.o_pando.o_pando,0.1954934941288479,0.0010605494541441,0.0694428477192998
o_random.o_random.o_random.o_random,0.0238379022646007,3.443342383584898e-05,0.0030388232232286
o_scenic.o_scenic.o_scenic.o_scenic,0.1611681990265008,0.0010261248635563,0.0633224843418968
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.1825749692555103,0.0099687508070556,0.155856097161201
