mth,cat,n,seed,other_seed,h,gb,s_ocoeff,c_ocoeff,t_ocoeff,e_ocoeff,n_sources,n_cres,n_targets,n_edges,r_size
linger,fixed_ncells,1024,0,,0.06916666666666667,18.499183654785156,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,1024,1,,0.13555555555555554,18.408252716064453,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,1024,2,,0.06972222222222223,18.392520904541016,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,1024,3,,0.13111111111111112,18.460006713867188,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,1024,4,,0.1436111111111111,21.81816864013672,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,2048,0,,0.16944444444444443,19.18203353881836,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,2048,1,,0.1575,22.2572021484375,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,2048,2,,0.08027777777777778,18.91753387451172,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,2048,3,,0.16749999999999998,19.213180541992188,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,2048,4,,0.1638888888888889,19.21978759765625,0.0,0.0,0.0,0.0,0,0,0,0,0.0
linger,fixed_ncells,4096,0,,0.09,21.50162124633789,1.0,0.5538461538461539,0.8068181818181818,0.20098039215686275,71,260,88,204,2.8732394366197185
linger,fixed_ncells,4096,1,,0.12583333333333332,21.11785888671875,1.0,0.5685131195335277,0.8481012658227848,0.250936329588015,78,343,79,267,3.423076923076923
linger,fixed_ncells,4096,2,,0.2866666666666667,21.161808013916016,1.0,0.5783132530120482,0.7906976744186046,0.2462686567164179,83,332,86,268,3.2289156626506026
linger,fixed_ncells,4096,3,,0.2316666666666667,21.492717742919922,1.0,0.5160256410256411,0.8037383177570093,0.18796992481203006,84,312,107,266,3.1666666666666665
linger,fixed_ncells,4096,4,,0.21305555555555555,21.455703735351562,1.0,0.5913621262458472,0.7745098039215687,0.1593625498007968,76,301,102,251,3.3026315789473686
linger,fixed_ncells,8192,0,,0.225,25.593738555908203,0.9951923076923077,0.5695762908080574,0.7266313932980599,0.1595511767925561,208,4319,1134,10962,52.70192307692308
linger,fixed_ncells,8192,1,,0.5880555555555556,25.07741928100586,0.994535519125683,0.6333612040133779,0.7942307692307692,0.3076568265682657,183,2392,520,2168,11.846994535519126
linger,fixed_ncells,8192,2,,0.605,24.42186737060547,0.9890710382513661,0.6343648208469055,0.8033707865168539,0.31987000928505105,183,2456,534,2154,11.770491803278688
linger,fixed_ncells,8192,3,,0.6074999999999999,24.41539764404297,1.0,0.649028524183547,0.788785046728972,0.33201581027667987,183,2419,535,2024,11.060109289617486
linger,fixed_ncells,8192,4,,0.225,25.79108428955078,0.985981308411215,0.5628810115150147,0.7268722466960352,0.15634636219684975,214,4429,1135,11999,56.070093457943926
linger,fixed_nfeats,1024,0,,0.4191666666666667,15.843624114990234,0.8527918781725888,0.17556626012093882,0.611323376172282,0.14938839556363895,394,9757,3005,29189,74.08375634517766
linger,fixed_nfeats,1024,1,,0.8241666666666666,23.241744995117188,0.8671875,0.16721683515576646,0.5832422586520947,0.1334117898791056,384,9694,2745,30063,78.2890625
linger,fixed_nfeats,1024,2,,1.1683333333333334,16.521236419677734,0.8698979591836735,0.17183288409703504,0.5825454545454546,0.14466326282518843,392,8904,2750,24678,62.954081632653065
linger,fixed_nfeats,1024,3,,1.136111111111111,17.827316284179688,0.8717948717948718,0.17261904761904762,0.5810386894388289,0.1336257622766663,390,9912,2869,29130,74.6923076923077
linger,fixed_nfeats,1024,4,,0.4247222222222222,15.498798370361328,0.8725,0.16068343252063735,0.6158388329281,0.13765557576405976,400,10418,3150,29131,72.8275
linger,fixed_nfeats,2048,0,,0.5388888888888889,23.678451538085938,0.8553615960099751,0.20681517840286956,0.6373740882250781,0.15869619485753003,401,10594,3125,28338,70.66832917705736
linger,fixed_nfeats,2048,1,,0.37749999999999995,27.398048400878906,0.878345498783455,0.21169942631430452,0.6696769711705454,0.17624193145750866,411,10633,3147,30171,73.4087591240876
linger,fixed_nfeats,2048,2,,0.5005555555555555,16.472484588623047,0.8814814814814815,0.2183342972816657,0.6273011462313304,0.17253307656645625,405,10374,3008,29314,72.38024691358025
linger,fixed_nfeats,2048,3,,1.0130555555555556,25.09072494506836,0.8765432098765432,0.20760449272693796,0.6752344564084751,0.16672015976605684,405,10862,3135,30273,74.74814814814815
linger,fixed_nfeats,2048,4,,0.49472222222222223,16.38846206665039,0.8765432098765432,0.20417888563049855,0.6523098298020146,0.15673478121322348,405,10994,3081,30191,74.54567901234567
linger,fixed_nfeats,4096,0,,0.5413888888888889,35.25661849975586,0.875,0.28858137829912023,0.705105939562348,0.20473592239934382,408,11288,3052,30063,73.68382352941177
linger,fixed_nfeats,4096,1,,1.463611111111111,20.34286117553711,0.9223300970873787,0.28504359490274983,0.6726893676164003,0.19844272229771917,423,10437,2878,27227,64.36643026004728
linger,fixed_nfeats,4096,2,,0.4277777777777778,29.193065643310547,0.8968058968058968,0.28724114896459585,0.6794025703369225,0.21397239756071468,407,10479,2943,29269,71.91400491400492
linger,fixed_nfeats,4096,3,,0.3838888888888889,37.391761779785156,0.8414634146341463,0.2714176683838962,0.6137547759638764,0.16479440818801042,410,10482,2949,29656,72.33170731707317
linger,fixed_nfeats,4096,4,,0.9675,28.667255401611328,0.8300970873786407,0.26330123528839605,0.5956703910614525,0.16654184943475625,412,10281,2864,28683,69.61893203883496
linger,fixed_nfeats,8192,0,,1.3002777777777779,42.821475982666016,0.9303482587064676,0.4053464783391791,0.7325460229246266,0.2420384437074284,402,10549,2959,29592,73.61194029850746
linger,fixed_nfeats,8192,1,,0.6230555555555556,21.65761947631836,0.9425,0.4206193282814108,0.7478291073289337,0.2602260975000892,400,10689,2923,29822,74.555
linger,fixed_nfeats,8192,2,,1.288333333333333,28.70009994506836,0.9305210918114144,0.40312093628088425,0.7328933657519973,0.24253771263507007,403,10766,2936,28839,71.56079404466502
linger,fixed_nfeats,8192,3,,0.6311111111111112,36.521934509277344,0.9321608040201005,0.43165534567786357,0.7297672803056617,0.27548946185942014,398,10747,2888,28984,72.82412060301507
linger,fixed_nfeats,8192,4,,0.6352777777777777,40.03432846069336,0.9301745635910225,0.4229288856304985,0.7357092448835568,0.2571438880069274,401,10968,2834,27716,69.11720698254364
linger,full,16384,0,1.0,1.895,36.76588821411133,0.9680589680589681,0.639647577092511,0.795727136431784,0.31723315444245676,412,10912,2879,28041,68.06067961165049
linger,full,16384,0,2.0,1.895,36.76588821411133,0.9634146341463414,0.7429435483870968,0.8551580409864536,0.45454869655147817,412,10912,2879,28041,68.06067961165049
linger,full,16384,0,3.0,1.895,36.76588821411133,0.9582309582309583,0.7288449089059466,0.8252865578325808,0.43022716736207695,412,10912,2879,28041,68.06067961165049
linger,full,16384,0,4.0,1.895,36.76588821411133,0.9579207920792079,0.6451000853808937,0.7831412103746398,0.30819157661994934,412,10912,2879,28041,68.06067961165049
linger,full,16384,1,0.0,0.5388888888888889,36.093448638916016,0.9680589680589681,0.639647577092511,0.795727136431784,0.31723315444245676,407,10215,2668,26832,65.92628992628993
linger,full,16384,1,2.0,0.5388888888888889,36.093448638916016,0.9631449631449631,0.6415075868820362,0.8242128935532234,0.31704680977936794,407,10215,2668,26832,65.92628992628993
linger,full,16384,1,3.0,0.5388888888888889,36.093448638916016,0.9459459459459459,0.6237885462555066,0.8039730134932533,0.3073941562313655,407,10215,2668,26832,65.92628992628993
linger,full,16384,1,4.0,0.5388888888888889,36.093448638916016,0.9579207920792079,0.7169848262359275,0.8339580209895052,0.4409287418008348,407,10215,2668,26832,65.92628992628993
linger,full,16384,2,0.0,0.7447222222222222,39.70421600341797,0.9634146341463414,0.7429435483870968,0.8551580409864536,0.45454869655147817,410,11181,3035,29983,73.12926829268292
linger,full,16384,2,1.0,0.7447222222222222,39.70421600341797,0.9631449631449631,0.6415075868820362,0.8242128935532234,0.31704680977936794,410,11181,3035,29983,73.12926829268292
linger,full,16384,2,3.0,0.7447222222222222,39.70421600341797,0.9533169533169533,0.7330990474428928,0.8357701462087725,0.44517575067596415,410,11181,3035,29983,73.12926829268292
linger,full,16384,2,4.0,0.7447222222222222,39.70421600341797,0.9628712871287128,0.641969452613604,0.8094380403458213,0.3063388937664618,410,11181,3035,29983,73.12926829268292
linger,full,16384,3,0.0,0.5608333333333334,36.422645568847656,0.9582309582309583,0.7288449089059466,0.8252865578325808,0.43022716736207695,407,10813,2941,28108,69.06142506142506
linger,full,16384,3,1.0,0.5608333333333334,36.422645568847656,0.9459459459459459,0.6237885462555066,0.8039730134932533,0.3073941562313655,407,10813,2941,28108,69.06142506142506
linger,full,16384,3,2.0,0.5608333333333334,36.422645568847656,0.9533169533169533,0.7330990474428928,0.8357701462087725,0.44517575067596415,407,10813,2941,28108,69.06142506142506
linger,full,16384,3,4.0,0.5608333333333334,36.422645568847656,0.9579207920792079,0.6269803623944598,0.7885446685878963,0.3089511882738011,407,10813,2941,28108,69.06142506142506
linger,full,16384,4,0.0,1.4897222222222224,48.27220153808594,0.9579207920792079,0.6451000853808937,0.7831412103746398,0.30819157661994934,404,10541,2776,28475,70.48267326732673
linger,full,16384,4,1.0,1.4897222222222224,48.27220153808594,0.9579207920792079,0.7169848262359275,0.8339580209895052,0.4409287418008348,404,10541,2776,28475,70.48267326732673
linger,full,16384,4,2.0,1.4897222222222224,48.27220153808594,0.9628712871287128,0.641969452613604,0.8094380403458213,0.3063388937664618,404,10541,2776,28475,70.48267326732673
linger,full,16384,4,3.0,1.4897222222222224,48.27220153808594,0.9579207920792079,0.6269803623944598,0.7885446685878963,0.3089511882738011,404,10541,2776,28475,70.48267326732673
